draft_slot,roster_id,owner_id,owner_name,team_name
1,1,user-harbor-demo,Cole Voss,Harbor Cats
2,2,user-salt-demo,Mira Lang,Salt Wren
3,3,user-pine-demo,Theo Quill,Pine Dock
4,4,user-red-demo,Nia Brooks,Red Harbor
5,5,user-eel-demo,Owen Pike,Glass Eel
6,6,user-fog-demo,Lila Shore,Fog Horn
7,7,user-kelp-demo,Arlo Bent,Copper Kelp
8,8,user-gull-demo,Eden Marsh,Drift Gull
9,9,user-marble-demo,Soren Gale,Marble Bay
10,10,user-tin-demo,Piper Holt,Tin Whistle
11,11,user-tide-demo,Quinn Ash,Low Tide
12,12,user-jetty-demo,Vera Flint,North Jetty
